按	a
愧悔	kvhv
匮竭	kvjp
溃决	kvjt
溃军	kvjy
睽睽	kvkv
喹啉	kvlb
愧领	kvlk
溃乱	kvlr
盔帽	kvmc
溃灭	kvmp
愧赧	kvnj
奎宁	kvnk
匮缺	kvqt
溃散	kvsj
葵扇	kvuj
魁首	kvuz
窥伺	kvsi
愧痛	kvts
奎屯	kvty
奎文	kvwf
魁星	kvxk
葵严	kvyj
奎因	kvyb
盔子	kvzi
愧怍	kvzo
困惫	kybw
坤表	kybn
昆季	kyji
困觉	kyjn
坤宁	kynk
昆腔	kyql
困穷	kyqs
困人	kyrf
昆山	kyuj
困守	kyuz
捆扎	kyza
坤造	kyzc
昆仲	kyvs
阔绰	koiz
廓落	kolo
廓清	koqk
扩权	koqr
阔人	korf
扩增	kozg
拉德	lade
拉恩	laen
拉尔	laer
拉非	lafw
拉夫	lafu
拉杆	lagj
拉钩	lagz
拉货	laho
辣酱	lajl
拉卡	laka
拉开	lakk
蜡泪	lalw
蜡疗	laln
拉门	lamf
蜡膜	lamo
拉娜	lana
拉纤	laqm
蜡染	larj
蜡人	larf
腊日	lari
蜡勺	lauc
拉丝	lasi
拉套	latc
拉文	lawf
拉乌	lawu
拉秧	layh
蜡油	layz
拉运	layy
拉账	lavh
蜡纸	lavi
莱城	ldig
莱顿	lddy
莱恩	lden
莱尔	lder
来访	ldfg
莱菔	ldfu
癞瓜	ldgx
来归	ldgv
来鸿	ldhs
赖婚	ldhy
来火	ldho
来佳	ldjx
来件	ldjm
来料	ldln
莱纳	ldna
莱能	ldng
莱尼	ldni
莱帕	ldpa
莱琪	ldqi
莱塞	ldse
莱山	lduj
来书	lduu
涞水	lduv
莱斯	ldsi
来岁	ldsv
来婷	ldtk
莱芜	ldwu
莱西	ldxi
赖学	ldxt
莱泽	ldze
赖债	ldvd
癞爪	ldvc
莱州	ldvz
澜沧	ljch
揽承	ljig
兰达	ljda
懒怠	ljdd
兰董	ljds
蓝顿	ljdy
懒惰	ljdz
兰恩	ljen
烂耳	ljer
蓝矾	ljfj
岚皋	ljgc
揽工	ljgs
蓝河	ljhe
懒猴	ljhz
蓝甲	ljjx
兰卡	ljka
兰考	ljkc
蓝空	ljks
兰拉	ljla
蓝龙	ljls
蓝魔	ljmo
蓝胖	ljph
蓝喷	ljpf
澜琪	ljqi
蓝芩	ljqb
揽权	ljqr
阑入	ljru
蓝腮	ljsd
兰森	ljsf
滥觞	ljuh
兰苏	ljsu
缆索	ljso
烂苔	ljtd
蓝移	ljyi
蓝藻	ljzc
栏栅	ljva
蓝阵	ljvf
蓝痣	ljvi
浪船	lhir
狼疮	lhil
廊道	lhdc
浪蝶	lhdp
朗恩	lhen
廊坊	lhfg
狼獾	lhhr
浪尖	lhjm
郎舅	lhjq
廊庙	lhmn
朗铭	lhmk
浪木	lhmu
狼骑	lhqi
浪桥	lhqn
浪茄	lhqp
朗清	lhqk
朗瑞	lhrv
浪舞	lhwu
郎溪	lhxi
朗县	lhxm
狼心	lhxb
狼妖	lhyc
朗依	lhyi
浪语	lhyu
阆苑	lhyr
朗悦	lhyt
狼爪	lhvx
老媪	lcao
老边	lcbm
劳步	lcbu
老财	lccd
老苍	lcch
老厂	lcih
唠扯	lcie
老粗	lccu
老旦	lcdj
牢度	lcdu
劳恩	lcen
劳乏	lcfa
老赶	lcgj
老鸹	lcgx
老倌	lcgr
老光	lcgl
涝害	lchd
劳倦	lcjr
劳军	lcjy
劳伦	lcly
老米	lcmi
老命	lcmk
老农	lcns
老女	lcnv
老气	lcqi
老亲	lcqb
老拳	lcqr
劳瑞	lcrv
老弱	lcro
老僧	lcsg
老生	lcug
老帅	lcuk
老叟	lcsz
酪酸	lcsr
老汤	lcth
乐亭	lctk
牢稳	lcwf
涝灾	lczd
乐安	lean
勒逼	lebi
乐昌	leih
乐道	ledc
乐东	leds
乐都	ledu
乐儿	leer
乐芬	leff
乐盖	legd
乐果	lego
乐和	lehe
乐衡	lehg
乐净	lejk
乐亢	lekh
乐来	leld
乐朗	lelh
乐乐	lele
乐力	leli
乐脉	lemd
勒秒	lemn
乐平	lepk
乐青	leqk
乐松	less
乐天	letm
乐唯	leww
乐武	lewu
乐业	leye
乐友	leyz
乐至	levi
雷暴	lwbc
泪奔	lwbf
雷波	lwbo
雷场	lwih
雷锤	lwiv
累次	lwci
雷德	lwde
雷蒂	lwdi
羸顿	lwdy
雷恩	lwen
蕾尔	lwer
雷斧	lwfu
雷公	lwgs
雷害	lwhd
类核	lwhe
类乎	lwhu
雷魂	lwhy
累活	lwho
雷角	lwjn
雷酒	lwjq
类聚	lwju
雷卡	lwka
雷克	lwke
蕾拉	lwla
雷链	lwlm
雷鳞	lwlb
蕾铃	lwlk
雷龙	lwls
累卵	lwlr
雷玛	lwma
雷矛	lwmc
雷眉	lwmw
雷门	lwmf
雷米	lwmi
肋膜	lwmo
雷纳	lwna
雷尼	lwni
累年	lwnm
雷鸟	lwnn
雷宁	lwnk
雷欧	lwou
垒墙	lwql
泪然	lwrj
雷瑟	lwse
雷山	lwuj
雷松	lwss
雷蹄	lwti
肋条	lwtn
雷丸	lwwj
雷沃	lwwo
雷希	lwxi
耒阳	lwyh
泪液	lwye
雷翼	lwyi
雷音	lwyb
雷云	lwyy
雷州	lwvz
嫘祖	lwzu
雷尊	lwzy
冷餐	lgcj
冷嘲	lgic
冷齿	lgii
冷床	lgil
冷点	lgdm
冷丁	lgdk
冷钢	lggh
冷光	lggl
冷害	lghd
冷湖	lghu
冷话	lghx
冷荤	lghy
冷货	lgho
冷噤	lgjb
冷觉	lgjt
冷厉	lgli
冷面	lgmm
冷峭	lgqn
冷泉	lgqr
冷杉	lguj
冷伤	lguh
愣神	lguf
冷霜	lgul
冷缩	lgso
棱台	lgtd
冷心	lgxb
冷硬	lgyk
冷轧	lgva
棱锥	lgvv
里昂	liah
丽邦	libh
历本	libf
罹病	libk
李沧	lich
蠡测	lice
里层	licg
历陈	liif
力持	liii
李村	licy
立等	lidg
理短	lidr
利钝	lidy
利恩	lien
利尔	lier
立方	lifg
利肺	lifw
利肝	ligj
梨膏	ligc
里根	ligf
蠡沟	ligz
犁骨	ligu
黧黑	lihw
力弘	lihs
立候	lihz
罹祸	liho
历久	lijq
立决	lijt
里卡	lika
离开	likk
利口	likz
利兰	lilj
莉蕾	lilw
离乱	lilr
厘摩	limo
力能	ling
犁牛	linq
力诺	lino
离叛	lipj
黎平	lipk
利钱	liqm
李群	liqy
栗然	lirj
立绒	lirs
立射	liue
力深	liuf
里手	liuz
李算	lisr
李遂	lisv
利他	lita
力太	litd
力坦	litj
犁田	litm
利通	lits
李陀	lito
立文	liwf
立业	liye
丽泽	lize
篱栅	liva
离辙	live
立轴	livz
利爪	livx
链表	lmbn
联产	lmij
联唱	lmih
联电	lmdm
镰斧	lmfu
连杆	lmgj
恋歌	lmge
连亘	lmgf
脸厚	lmhz
联会	lmhv
联觉	lmjt
联可	lmke
连夼	lmkl
帘栊	lmls
链轮	lmly
帘幕	lmmu
连南	lmnj
恋奴	lmnu
连平	lmpk
连翘	lmqn
恋群	lmqy
联双	lmul
涟水	lmuv
莲台	lmtd
练摊	lmtj
炼铁	lmtp
联销	lmxn
连写	lmxp
连选	lmxr
恋洋	lmyh
连用	lmys
连种	lmvs
联奏	lmzz
敛足	lmzu
亮邦	llbh
靓包	llbc
两鬓	llbb
亮博	llbo
两重	llis
莨绸	lliz
两当	lldh
凉碟	lldp
粮囤	lldy
良多	lldz
亮儿	ller
量规	llgv
两汉	llhj
梁河	llhe
两淮	llhk
粮荒	llhl
两晋	lljb
亮鳞	lllb
亮绿	lllv
良马	llma
凉帽	llmc
粮秣	llmo
亮木	llmu
粮农	llns
粮票	llpn
粮区	llqu
量热	llre
量算	llsr
亮跃	llyt
两造	llzc
凉枕	llvf
蓼参	lncj
料车	lnie
燎尘	lnif
了当	lndh
撂地	lndi
疗毒	lndu
撂荒	lnhl
了局	lnju
撩开	lnkk
蓼蓝	lnlj
燎泡	lnpc
料峭	lnqn
聊且	lnqp
燎群	lnqy
撩惹	lnre
瞭哨	lnuc
了事	lnui
撂手	lnuz
辽西	lnxi
燎雨	lnyu
辽中	lnvs
僚佐	lnzo
列兵	lpbk
猎场	lpih
猎齿	lpii
烈度	lpdu
裂谷	lpgu
裂化	lphx
裂解	lpjp
裂筋	lpjb
裂开	lpkk
裂颅	lplu
劣魔	lpmo
裂脑	lpnc
列宁	lpnk
裂片	lppm
劣品	lppb
列沁	lpqb
裂球	lpqq
列缺	lpqt
烈山	lpuj
裂伤	lpuh
劣绅	lpuf
烈属	lpuu
裂蹄	lpti
裂天	lptm
猎枭	lpxn
列选	lpxr
猎月	lpyt
裂云	lpyy
劣种	lpvs
列传	lpvr
猎装	lpvl
裂钻	lpzr
鳞癌	lbai
临安	lban
林比	lbbi
邻边	lbbm
鳞波	lbbo
临沧	lbch
邻层	lbcg
临朝	lbic
临城	lbig
临池	lbii
临川	lbir
林丛	lbcs
邻村	lbcy
林带	lbdd
临汾	lbff
临风	lbfg
临高	lbgc
林冠	lbgr
临桂	lbgv
林喉	lbhz
林克	lbke
林口	lbkz
临了	lbln
林龄	lblk
林莽	lbmh
林奈	lbnd
琳妮	lbni
林农	lbns
林檎	lbqb
邻人	lbrf
临汝	lbru
林姗	lbuj
邻舍	lbue
临沭	lbuu
临泰	lbtd
临潭	lbtj
檩条	lbtn
林蛙	lbwa
林网	lbwh
鳞屑	lbxp
麟游	lbyz
林云	lbyy
临泽	lbze
临漳	lbvh
鳞爪	lbvc
林政	lbvg
灵宝	lkbc
灵璧	lkbi
凌波	lkbo
灵床	lkil
灵达	lkda
铃的	lkde
铃铎	lkdz
灵幡	lkfj
灵符	lkfu
领港	lkgh
领钩	lkgz
灵怪	lkgk
领馆	lkgr
凌河	lkhe
灵猴	lkhz
领巾	lkjb
灵境	lkjk
领款	lkkr
零料	lkln
领命	lkmk
菱脑	lknc
羚牛	lknq
灵诺	lkno
令女	lknv
灵棚	lkpg
零票	lkpn
伶俜	lkpk
灵丘	lkqq
灵山	lkuj
零上	lkuh
灵台	lktd
陵替	lkti
灵网	lkwh
令闻	lkwf
令兄	lkxs
龄学	lkxt
凌杂	lkza
领章	lkvh
领奏	lkzz
硫胺	lqan
刘骜	lqao
留坝	lqba
刘邦	lqbh
流弊	lqbi
留别	lqbp
流播	lqbo
流荡	lqdh
馏分	lqff
流风	lqfg
六腑	lqfu
六根	lqgf
硫胍	lqgx
溜号	lqhc
六户	lqhu
榴火	lqho
六甲	lqjx
柳江	lqjl
留居	lqju
六轮	lqly
遛马	lqma
柳眉	lqmw
留门	lqmf
柳绵	lqmm
流民	lqmb
柳木	lqmu
流脑	lqnc
瘤牛	lqnq
流盼	lqpj
流气	lqqi
硫桥	lqqn
留情	lqqk
琉球	lqqq
柳杉	lquj
柳丝	lqsi
柳条	lqtn
流徙	lqxi
流泻	lqxp
溜圆	lqyr
流云	lqyy
留针	lqvf
留种	lqvs
溜桌	lqvo
留足	lqzu
龙勃	lsbo
隆昌	lsih
龙城	lsig
龙齿	lsii
茏葱	lscs
隆德	lsde
龙灯	lsdg
笼盖	lsgd
垄沟	lsgz
龙痕	lshf
龙喉	lshz
龙脊	lsji
龙江	lsjl
龙鹫	lsjq
龙卷	lsjr
癃开	lskk
砻糠	lskh
龙葵	lskv
龙类	lslw
龙里	lsli
龙陵	lslk
龙卵	lslr
龙蟒	lsmh
垄奴	lsnu
龙女	lsnv
龙泉	lsqr
龙沙	lsua
龙山	lsuj
隆盛	lsug
龙首	lsuz
弄堂	lsth
龙湾	lswj
龙文	lswf
龙舞	lswu
陇西	lsxi
龙哮	lsxn
隆尧	lsyc
龙鹰	lsyk
龙游	lsyz
龙渊	lsyr
龙崽	lszd
龙枣	lszc
龙掌	lsvh
龙爪	lsvx
隆准	lsvy
拢总	lszs
垄作	lszo
露白	lzbd
楼板	lzbj
露丑	lziz
漏窗	lzil
娄烦	lzfj
露富	lzfu
楼盖	lzgd
瘘管	lzgr
漏光	lzgl
陋规	lzgv
漏壶	lzhu
镂花	lzhx
漏检	lzjm
漏抗	lzkh
镂刻	lzke
镂空	lzks
漏芦	lzlu
漏码	lzma
漏尿	lznn
露怯	lzqp
楼群	lzqy
漏勺	lzuc
陋俗	lzsu
漏脱	lzto
漏泄	lzxp
娄星	lzxk
陋岩	lzyj
漏夜	lzye
漏嘴	lzzv
路霸	luba
卢比	lubi
芦柴	luid
露畅	luih
陆川	luir
鸬鹚	luci
芦荡	ludh
鲁恩	luen
录放	lufg
芦根	lugf
路环	luhr
卤碱	lujm
庐江	lujl
路劫	lujp
露酒	lujq
卢卡	luka
鲁坎	lukj
鲁克	luke
鹿盔	lukv
陆良	lull
卢龙	luls
路南	lunj
颅脑	lunc
陆棚	lupg
鹿皮	lupi
陆坡	lupo
路卡	luqx
颅腔	luql
鹿肉	lurz
卢瑟	luse
卢森	lusf
庐舍	luue
鹿肾	luuf
芦淞	luss
露髓	lusv
炉膛	luth
陆涛	lutc
炉瓦	luwa
颅外	luwd
炉温	luwf
颅狭	luxx
鹿野	luye
鹿苑	luyr
鲁赞	luzj
炉渣	luva
路政	luvg
卵白	lrbd
乱兵	lrbk
栾城	lrig
乱齿	lrii
栾川	lrir
滦河	lrhe
乱乎	lrhu
卵黄	lrhl
乱纪	lrji
孪晶	lrjk
卵孔	lrks
卵块	lrkk
乱离	lrli
卵裂	lrlp
乱民	lrmb
滦南	lrnj
滦平	lrpk
乱枪	lrql
乱情	lrqk
乱射	lrue
挛缩	lrso
乱弹	lrtj
乱腾	lrtg
娈童	lrts
滦县	lrxm
卵形	lrxk
卵翼	lryi
乱营	lryk
乱羽	lryu
乱杂	lrza
峦嶂	lrvh
卵质	lrvi
掠虹	lths
略图	lttu
略阳	ltyh
伦巴	lyba
轮埠	lybu
轮齿	lyii
论丛	lycs
论敌	lydi
轮渡	lydu
轮辐	lyfu
论功	lygs
轮毂	lygu
论价	lyjx
沦没	lymo
轮牧	lymu
论难	lynj
轮盘	lypj
伦琴	lyqb
轮系	lyxi
轮作	lyzo
萝北	lobw
罗布	lobu
落尘	loif
洛川	loir
落锤	loiv
罗顿	lody
洛恩	loen
落帆	lofj
洛菲	lofw
落凤	lofg
螺杆	logj
罗戈	loge
螺号	lohc
漯河	lohe
落荒	lohl
罗杰	lojp
罗经	lojk
螺距	loju
螺菌	lojy
洛卡	loka
裸考	lokc
罗口	lokz
罗拉	lola
罗兰	lolj
罗勒	lole
裸麦	lomd
罗曼	lomj
洛美	lomw
洛那	lona
罗尼	loni
落聘	lopb
罗平	lopk
洛浦	lopu
洛奇	loqi
洛庆	loqk
洛屈	loqu
络却	loqt
罗瑞	lorv
洛萨	losa
络纱	loua
裸鼠	louu
螺栓	lour
落套	lotc
罗田	lotm
洛亭	lotk
络通	lots
洛威	loww
洛希	loxi
洛欣	loxb
落星	loxk
落雪	loxt
洛雅	loya
裸眼	loyj
落音	loyb
落英	loyk
落雨	loyu
罗源	loyr
洛扎	lova
落账	lovh
罗珍	lovf
氯胺	lvan
氯苯	lvbf
滤泵	lvbg
缕陈	lvif
绿党	lvdh
绿岛	lvdc
氯仿	lvfg
率谷	lvgu
氯胍	lvgx
滤过	lvgo
绿甲	lvjx
率角	lvjn
氯喹	lvkv
吕梁	lvll
律令	lvlk
绿龙	lvls
氯纶	lvly
驴骡	lvlo
铝镁	lvmw
旅鸟	lvnn
滤清	lvqk
绿鳃	lvsd
驴肾	lvuf
稆生	lvug
履霜	lvul
绿松	lvss
绿塔	lvta
律条	lvtn
绿铁	lvtp
旅团	lvtr
绿纹	lvwf
缕析	lvxi
闾巷	lvxl
履新	lvxb
绿炫	lvxr
绿雪	lvxt
氯亚	lvya
绿腰	lvyc
绿意	lvyi
绿园	lvyr
滤渣	lvva
绿爪	lvvc
旅者	lvve
绿竹	lvvu
律宗	lvzs
码本	mabf
马鳖	mabp
马兵	mabk
马槽	macc
麻城	maig
马刺	maci
马村	macy
玛蒂	madi
马店	madm
马丁	madk
马队	madv
玛尔	maer
麻秆	magj
马号	mahc
马赫	mahe
麻后	mahz
马裤	maku
蚂螂	malh
马料	maln
马列	malp
马龙	mals
马骡	malo
骂名	mamk
马奶	mand
马趴	mapa
马枪	maql
玛沁	maqb
马球	maqq
玛曲	maqu
摩挲	masa
马森	masf
马勺	mauc
麻绳	maug
麻石	maui
玛特	mate
马铁	matp
码文	mawf
马萧	maxn
马谢	maxp
马熊	maxs
马修	maxq
麻阳	mayh
码元	mayr
马贼	mazw
马站	mavj
妈祖	mazu
买办	mdbj
麦草	mdcc
麦茬	mdia
卖呆	mddd
麦蛾	mdee
麦风	mdfg
卖功	mdgs
埋骨	mdgu
麦角	mdjn
迈克	mdke
麦浪	mdlh
麦琳	mdlb
麦芒	mdmh
脉门	mdmf
麦苗	mdmn
麦姆	mdmu
麦胚	mdpw
脉平	mdpk
麦秋	mdqq
脉舒	mduu
埋汰	mdtd
迈腾	mdtg
麦莛	mdtk
麦瓦	mdwa
霡欣	mdxb
麦须	mdxu
卖友	mdyz
买账	mdvh
脉枕	mdvf
脉证	mdvg
麦种	mdvs
慢班	mjbj
瞒报	mjbc
漫笔	mjbi
蛮兵	mjbk
蔓草	mjcc
蛮缠	mjij
螨虫	mjis
满处	mjiu
蛮锤	mjiv
慢词	mjci
满地	mjdi
满额	mjee
鳗钙	mjgd
瞒哄	mjhs
曼胡	mjhu
漫漶	mjhr
漫记	mjji
慢件	mjjm
蔓菁	mjjk
漫卷	mjjr
漫流	mjlq
蛮龙	mjls
曼尼	mjni
蛮牛	mjnq
蛮皮	mjpi
满勤	mjqb
满人	mjrf
漫射	mjue
曼声	mjug
满师	mjui
满婷	mjtk
慢痛	mjts
满文	mjwf
蛮妖	mjyc
幔帐	mjvh
慢支	mjvi
蛮鬃	mjzs
莽苍	mhch
芒刺	mhci
盲动	mhds
盲干	mhgj
盲谷	mhgu
盲光	mhgl
芒康	mhkh
盲签	mhqm
蟒藤	mhtg
盲童	mhts
盲信	mhxb
茫崖	mhya
盲眼	mhyj
莽原	mhyr
忙月	mhyt
盲字	mhzi
茅庵	mcan
茂巴	mcba
锚泊	mcbo
毛布	mcbu
毛茶	mcia
冒场	mcih
耄耋	mcdp
冒渎	mcdu
茂尔	mcer
毛根	mcgf
帽化	mchx
锚环	mchr
铆接	mcjp
帽盔	mckv
毛拉	mcla
毛蓝	mclj
冒码	mcma
茂南	mcnj
毛囊	mcnh
茅棚	mcpg
毛票	mcpn
毛球	mcqq
毛渠	mcqu
毛人	mcrf
帽衫	mcuj
卯榫	mcsy
毛桃	mctc
毛条	mctn
毛袜	mcwa
猫王	mcwh
锚位	mcww
毛细	mcxi
毛虾	mcxx
茂欣	mcxb
猫熊	mcxs
毛选	mcxr
毛样	mcyh
毛躁	mczc
毛毡	mcvj
毛痣	mcvi
毛装	mcvl
矛鬃	mczs
美安	mwan
眉笔	mwbi
美餐	mwcj
煤层	mwcg
煤车	mwie
煤尘	mwif
眉冲	mwis
美传	mwir
梅达	mwda
没顶	mwdk
眉端	mwdr
梅恩	mwen
梅尔	mwer
镁光	mwgl
美红	mwhs
梅江	mwjl
煤焦	mwjn
煤块	mwkk
眉棱	mwlg
梅列	mwlp
梅洛	mwlo
美侬	mwns
眉批	mwpi
美平	mwpk
酶切	mwqp
梅森	mwsf
媚态	mwtd
魅香	mwxl
美型	mwxk
妹婿	mwxu
魅影	mwyk
美展	mwvj
妹丈	mwvh
门鼻	mfbi
门钹	mfbo
门齿	mfii
门斗	mfdz
门墩	mfdy
门额	mfee
门儿	mfer
门阀	mffa
门扉	mffw
门幅	mffu
门岗	mfgh
闷棍	mfgy
闷倦	mfjr
门客	mfke
门框	mfkl
门廊	mflh
门楼	mflz
门努	mfnu
闷气	mfqi
门墙	mfql
门扇	mfuj
门首	mfuz
扪心	mfxb
门源	mfyr
门子	mfzi
盟邦	mgbh
梦禅	mgij
蒙城	mgig
孟春	mgiy
孟村	mgcy
猛打	mgda
猛地	mgde
猛跌	mgdp
锰钢	mggh
猛攻	mggs
蒙垢	mggz
蒙馆	mggr
勐海	mghd
蒙哄	mghs
猛火	mgho
猛击	mgji
猛将	mgjl
猛鹫	mgjq
勐腊	mgla
孟连	mglm
猛犸	mgma
蒙曼	mgmj
蒙蒙	mgmg
梦娘	mgnl
萌蘖	mgnp
蒙诺	mgno
猛扑	mgpu
孟秋	mgqq
蒙山	mguj
锰铁	mgtp
蒙童	mgts
孟夏	mgxx
孟县	mgxm
蒙学	mgxt
梦叶	mgye
蒙阴	mgyb
孟州	mgvz
梦妆	mgvl
米尺	miii
米袋	midd
嘧啶	midk
密耳	mier
秘法	mifa
靡费	mifw
迷花	mihx
密会	mihv
秘结	mijp
迷津	mijb
蜜橘	miju
米糠	mikh
米拉	mila
米莱	mild
汨罗	milo
弥诺	mino
米奇	miqi
觅求	miqq
米泉	miqr
弥散	misj
密斯	misi
泌特	mite
弥陀	mito
蜜丸	miwj
密写	mixp
秘血	mixt
米雅	miya
米易	miyi
蜜源	miyr
米扎	miva
迷阵	mivf
米粥	mivz
迷踪	mizs
咪唑	mizo
面案	mman
棉棒	mmbh
面表	mmbn
绵参	mmcj
面茶	mmia
渑池	mmii
绵绸	mmiz
冕洞	mmds
棉纺	mmfg
面高	mmgc
面弓	mmgs
棉猴	mmhz
面交	mmjn
面经	mmjk
面宽	mmkr
绵连	mmlm
面裂	mmlp
棉铃	mmlk
冕旒	mmlq
面门	mmmf
面嫩	mmnf
冕宁	mmnk
棉农	mmns
面盆	mmpf
免却	mmqt
面人	mmrf
面商	mmuh
面纹	mmwf
面窝	mmwo
绵远	mmyr
面砖	mmvr
秒摆	mnbd
苗床	mnil
妙方	mnfg
庙号	mnhc
描红	mnhs
苗家	mnjx
描金	mnjb
妙境	mnjk
妙诀	mnjt
妙纳	mnna
妙品	mnpb
苗期	mnqi
苗情	mnqk
渺然	mnrj
妙算	mnsr
苗乡	mnxl
苗绣	mnxq
描叙	mnxu
妙药	mnyc
苗寨	mnvd
灭茬	mpia
蔑称	mpig
灭滴	mpdi
灭点	mpdm
篾工	mpgs
篾黄	mphl
篾匠	mpjl
灭菌	mpjy
灭龙	mpls
蠛蠓	mpmg
篾片	mppm
篾青	mpqk
灭天	mptm
篾条	mptn
篾席	mpxi
乜斜	mpxp
灭蝇	mpyk
篾子	mpzi
民变	mbbm
民船	mbir
敏迪	mbdi
闽侯	mbhz
敏化	mbhx
敏慧	mbhv
民力	mbli
民盟	mbmg
民命	mbmk
民品	mbpb
民勤	mbqb
岷山	mbuj
民庭	mbtk
民望	mbwh
岷县	mbxm
民忧	mbyz
民运	mbyy
民贼	mbzw
民智	mbvi
抿子	mbzi
螟虫	mkis
明春	mkiy
明代	mkdd
鸣笛	mkdi
铭感	mkgj
明沟	mkgz
鸣鼓	mkgu
明光	mkgl
螟害	mkhd
冥虎	mkhu
明黄	mkhl
鸣鸾	mklr
明码	mkma
冥蒙	mkmg
明灭	mkmp
冥牛	mknq
明盘	mkpj
鸣炮	mkpc
名票	mkpn
名品	mkpb
明前	mkqm
鸣禽	mkqb
名儒	mkru
明锐	mkrv
冥蛇	mkue
明水	mkuv
冥思	mksi
名宿	mksu
名特	mkte
名帖	mktp
铭心	mkxb
明秀	mkxq
冥鸦	mkya
明耀	mkyc
名优	mkyz
名章	mkvh
明真	mkvf
鸣啭	mkvr
名状	mkvl
鸣奏	mkzz
谬传	mqir
谬奖	mqjl
谬说	mquo
谬种	mqvs
魔棒	mobh
膜泵	mobg
魔波	mobo
魔尘	moif
磨床	moil
莫丹	modj
蓦地	mode
墨斗	modz
末伏	mofu
魔钢	mogh
莫格	moge
磨工	mogs
魔钩	mogz
魔怪	mogk
魔棍	mogy
墨海	mohd
摩汉	mohj
磨耗	mohc
末后	mohz
摹绘	mohv
魔火	moho
魔剑	mojm
魔君	mojy
摩卡	moka
模考	mokc
魔矿	mokl
茉拉	mola
莫莱	mold
莫雷	molw
模棱	molg
莫伦	moly
莫娜	mona
魔能	mong
莫努	monu
磨盘	mopj
魔球	moqq
默僧	mosg
摩什	mouf
摩丝	mosi
默算	mosr
莫塔	mota
魔藤	motg
魔铁	motp
莫问	mowf
磨洗	moxi
墨线	moxm
模效	moxn
磨削	moxt
魔针	movf
磨嘴	mozv
谋臣	mzif
牟定	mzdk
谋和	mzhe
谋虑	mzlv
谋算	mzsr
某乙	mzyi
穆比	mubi
幕宾	mubb
募兵	mubk
木巢	muic
母畜	muiu
木槌	muiv
目次	muci
墓道	mudc
暮冬	muds
木盾	mudy
牧放	mufg
母妃	mufw
幕府	mufu
牧歌	muge
牧归	mugv
母国	mugo
牧户	muhu
募化	muhx
母皇	muhl
沐火	muho
木枷	mujx
募款	mukr
木垒	mulw
木莲	mulm
木笼	muls
墓门	mumf
木棉	mumm
墓奴	munu
牟平	mupk
幕墙	muql
牧犬	muqr
牧群	muqy
木蛇	muue
木声	muug
木栓	muur
暮岁	musv
穆塔	muta
木糖	muth
沐欣	muxb
母音	muyb
木栅	muva
拇战	muvj
木爪	muvc
牧者	muve
木枕	muvf
母钟	muvs
母座	muzo
钠泵	nabg
纳彩	nacd
纳差	naia
纳川	nair
纳呆	nadd
钠灯	nadg
拿顶	nadk
纳恩	naen
纳贡	nags
拿获	naho
纳洁	najp
钠林	nalb
纳鲁	nalu
纳姆	namu
那宁	nank
那坡	napo
拿乔	naqn
拿权	naqr
那洒	nasa
纳杉	nauj
纳特	nate
那妥	nato
拿问	nawf
纳溪	naxi
纳降	naxl
纳新	naxb
纳雍	nays
拿住	navu
镎族	nazu
耐穿	ndir
奶疮	ndil
氖灯	nddg
乃东	ndds
奈法	ndfa
奶糕	ndgc
奶积	ndji
耐碱	ndjm
奈康	ndkh
耐苦	ndku
奈拉	ndla
奈曼	ndmj
奶毛	ndmc
奶名	ndmk
奈培	ndpw
奶皮	ndpi
奶品	ndpb
奈瑟	ndse
耐受	nduz
耐酸	ndsr
奶味	ndww
奶牙	ndya
奶羊	ndyh
耐战	ndvj
奶罩	ndvc
男宾	njbb
南岔	njia
南朝	njic
南川	njir
南村	njcy
南斗	njdz
南芬	njff
南岗	njgh
南华	njhx
南汇	njhv
男家	njjx
南郊	njjn
南开	njkk
南吕	njlv
南蛮	njmj
南明	njmk
男模	njmo
楠木	njmu
南皮	njpi
南票	njpn
南齐	njqi
难色	njse
南沙	njua
南宋	njss
南通	njts
男团	njtr
南湾	njwj
南县	njxm
南雄	njxs
南音	njyb
南漳	njvh
囊斑	nhbj
囊胞	nhbc
囊虫	nhis
囊膪	nhik
囊胚	nhpw
囊谦	nhqm
囊群	nhqy
脑安	ncan
闹病	ncbk
铙钹	ncbo
蛲虫	ncis
淖尔	ncer
闹房	ncfg
挠钩	ncgz
闹哄	nchs
脑户	nchu
闹荒	nchl
脑际	ncji
脑空	ncks
脑量	ncll
脑瘤	nclq
脑笼	ncls
呶呶	ncnc
脑宁	ncnk
脑泡	ncpc
闹气	ncqi
挠曲	ncqu
硇砂	ncua
脑疝	ncuj
脑肽	nctd
闹天	nctm
脑炎	ncyj
闹灾	nczd
闹贼	nczw
脑汁	ncvi
讷河	nehe
讷讷	nene
内靶	nwba
内宾	nwbb
内场	nwih
内臣	nwif
内城	nwig
内盗	nwdc
内调	nwdn
内耳	nwer
内翻	nwfj
内顾	nwgu
内关	nwgr
内海	nwhd
内黄	nwhl
内江	nwjl
内角	nwjn
内聚	nwju
内刊	nwkj
内愧	nwkv
内贸	nwmc
内冕	nwmm
内难	nwnj
内能	nwng
内皮	nwpi
内丘	nwqq
内瓤	nwrh
内热	nwre
内人	nwrf
内森	nwsf
内渗	nwuf
内水	nwuv
内体	nwti
内湾	nwwj
内卫	nwww
内省	nwxk
内兄	nwxs
内压	nwya
